Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
129.226.189.21-10.1.0.4-36211-123-17,129.226.189.21,36211,10.1.0.4,123,17,2023-02-05 23:02:50,30009444,3056,4,24448.0,1472.0,8.0,8.0,8.0,0.0,440.0,296.0,368.0,83.13843876330611,863.7280983946254,101.96790050492106,9810.213795357926,3939.927182922189,175637.0,20.0,30009444.0,9823.05859247134,3952.2318136232334,177132.0,5506.0,176686.0,58895.33333333333,101963.810522819,176633.0,20.0,0,0,0,0,24448,32,101.834609131712,0.1332913732090471,8.0,440.0,8.470434498529913,13.26524987904987,175.96685435363258,0,0,0,0,0,0,0,0,0.0,8.473202614379085,8.0,368.0,0,0,0,25920,3060,863,0,7,0,0,0,0,3055,8,0.0,0.0,0.0,0.0,1675638170528085.0,0.0,1675638170528085.0,1675638170528085.0,ddospot
129.226.189.21-10.1.0.4-40528-123-17,129.226.189.21,40528,10.1.0.4,123,17,2023-02-05 23:02:50,30018257,3045,4,24360.0,1472.0,8.0,8.0,8.0,0.0,440.0,296.0,368.0,83.13843876330611,860.5429689005595,101.5715202918011,9848.509514435696,4081.495899430414,176520.0,23.0,30018257.0,9861.451051248365,4151.861615077599,182142.0,4610.0,177651.0,59217.0,102524.41743799376,177602.0,23.0,0,0,0,0,24360,32,101.43826805133956,0.1332522404615298,8.0,440.0,8.472131147541004,13.289126974782764,176.60089575189886,0,0,0,0,0,0,0,0,0.0,8.474909806493933,8.0,368.0,0,0,0,25832,3049,860,0,7,0,0,0,0,3044,8,0.0,0.0,0.0,0.0,1675638170523392.0,0.0,1675638170523392.0,1675638170523392.0,ddospot
129.226.189.21-10.1.0.4-33823-123-17,129.226.189.21,33823,10.1.0.4,123,17,2023-02-05 23:02:50,30010489,3163,4,25304.0,1472.0,8.0,8.0,8.0,0.0,440.0,296.0,368.0,83.13843876330611,892.2213829971248,105.52976994143614,9478.99210360073,3300.0142383149514,176341.0,22.0,30010489.0,9490.983238456662,3313.186416765638,177599.0,5563.0,177995.0,59331.66666666667,102726.49002245396,177950.0,22.0,0,0,0,0,25304,32,105.39648320958716,0.1332867318489878,8.0,440.0,8.454545454545478,13.03951215893656,170.02887734305438,0,0,0,0,0,0,0,0,0.0,8.457215029996842,8.0,368.0,0,0,0,26776,3167,892,0,7,0,0,0,0,3162,8,0.0,0.0,0.0,0.0,1675638170528085.0,0.0,1675638170528085.0,1675638170528085.0,ddospot
129.226.189.21-10.1.0.4-34706-123-17,129.226.189.21,34706,10.1.0.4,123,17,2023-02-05 23:02:50,30013069,3025,4,24200.0,1472.0,8.0,8.0,8.0,0.0,440.0,296.0,368.0,83.13843876330611,855.3607096961659,100.92270137385816,9911.845772787336,4287.970416297113,177392.0,25.0,30013069.0,9924.956679894172,4353.226354189746,182651.0,3571.0,179208.0,59736.0,103419.0216884689,179154.0,25.0,0,0,0,0,24200,32,100.78942609967676,0.1332752741813907,8.0,440.0,8.475247524752497,13.332872216191694,177.76548153329642,0,0,0,0,0,0,0,0,0.0,8.478045559590624,8.0,368.0,0,0,0,25672,3029,855,0,7,0,0,0,0,3024,8,0.0,0.0,0.0,0.0,1675638170523393.0,0.0,1675638170523393.0,1675638170523393.0,ddospot
129.226.189.21-10.1.0.4-33563-123-17,129.226.189.21,33563,10.1.0.4,123,17,2023-02-05 23:02:50,30016745,3039,4,24312.0,1472.0,8.0,8.0,8.0,0.0,440.0,296.0,368.0,83.13843876330611,858.987208639711,101.3767482117065,9867.437541091364,4107.546462349439,177486.0,11.0,30016745.0,9880.429558920348,4166.0264179893775,182166.0,5337.0,178924.0,59641.33333333333,103272.37487505232,178890.0,11.0,0,0,0,0,24312,32,101.24348925907856,0.1332589526279415,8.0,440.0,8.473061760841018,13.30220531115502,176.9486661401208,0,0,0,0,0,0,0,0,0.0,8.475846204403549,8.0,368.0,0,0,0,25784,3043,858,0,7,0,0,0,0,3038,8,0.0,0.0,0.0,0.0,1675638170523393.0,0.0,1675638170523393.0,1675638170523393.0,ddospot
61.177.172.145-10.1.0.4-50554-22-6,61.177.172.145,50554,10.1.0.4,22,6,2023-02-05 23:03:10,668031,3,4,15.0,74.0,15.0,0.0,5.0,8.660254037844387,74.0,0.0,18.5,37.0,133.22735022775888,10.478555635891148,111338.5,270650.74792119086,663796.0,54.0,664528.0,332264.0,469091.8102120309,663962.0,566.0,667865.0,222621.6666666667,382608.5646249092,664416.0,100.0,0,0,0,0,104,136,4.490809558239064,5.987746077652084,0.0,74.0,11.125,25.941899368726705,672.9821428571428,1,2,0,2,6,0,0,0,1.0,12.714285714285714,5.0,18.5,0,0,0,0,0,0,0,2,0,10,29200,509,1,32,0.0,0.0,0.0,0.0,1675638190743736.0,0.0,1675638190743736.0,1675638190743736.0,cowrie
61.177.172.145-10.1.0.4-50554-22-6,61.177.172.145,50554,10.1.0.4,22,6,2023-02-05 23:03:12,624,3,1,880.0,0.0,856.0,0.0,293.33333333333337,487.4313626894902,0.0,0.0,0.0,0.0,1410256.4102564105,6410.25641025641,208.0,236.61572221642416,481.0,62.0,624.0,312.0,239.00209204105303,481.0,143.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,96,20,4807.692307692308,1602.5641025641023,0.0,856.0,176.0,380.2735857248042,144608.0,1,0,1,2,3,0,0,0,0.0,220.0,293.3333333333333,0.0,0,0,0,0,0,0,0,220,0,0,229,0,2,32,0.0,0.0,0.0,0.0,1675638192067578.0,0.0,1675638192067578.0,1675638192067578.0,cowrie
156.225.131.128-10.1.0.4-2732-123-17,156.225.131.128,2732,10.1.0.4,123,17,2023-02-05 23:03:18,29988681,591,4,4728.0,1472.0,8.0,8.0,8.0,0.0,440.0,296.0,368.0,83.13843876330611,206.74467143119767,19.840819274445582,50485.99494949496,43857.1203388515,298099.0,36.0,29988681.0,50828.2728813559,43827.37675693128,298099.0,4041.0,177489.0,59163.0,102302.73401527447,177292.0,36.0,0,0,0,0,4728,32,19.70743561545771,0.1333836589878694,8.0,440.0,10.416107382550344,30.00439198576612,900.2635384355059,0,0,0,0,0,0,0,0,0.0,10.433613445378151,8.0,368.0,0,0,0,6200,595,206,0,7,0,2,0,0,590,8,0.0,0.0,0.0,0.0,1675638198598547.0,0.0,1675638198598547.0,1675638198598547.0,ddospot
156.225.131.128-10.1.0.4-42576-123-17,156.225.131.128,42576,10.1.0.4,123,17,2023-02-05 23:03:18,30016574,632,4,5056.0,1472.0,8.0,8.0,8.0,0.0,440.0,296.0,368.0,83.13843876330611,217.47984963240643,21.18829417374548,47270.19527559057,42369.52328837565,261962.0,41.0,30016574.0,47569.84786053884,42341.93509462896,261962.0,4451.0,182003.0,60667.66666666667,104850.88982613992,181739.0,41.0,0,0,0,0,5056,32,21.055034461960915,0.1332597117845627,8.0,440.0,10.260596546310834,29.027224831261027,842.5797814045767,0,0,0,0,0,0,0,0,0.0,10.276729559748428,8.0,368.0,0,0,0,6528,636,217,0,7,0,2,0,0,631,8,0.0,0.0,0.0,0.0,1675638198595172.0,0.0,1675638198595172.0,1675638198595172.0,ddospot
156.225.131.128-10.1.0.4-43071-123-17,156.225.131.128,43071,10.1.0.4,123,17,2023-02-05 23:03:18,29953540,572,4,4576.0,1472.0,8.0,8.0,8.0,0.0,440.0,296.0,368.0,83.13843876330611,201.9126954610373,19.229780520098792,52093.1130434783,47633.7668370872,291653.0,309.0,29953540.0,52458.03852889661,47616.41418875429,291653.0,3537.0,183685.0,61228.33333333333,104398.47436305444,181775.0,309.0,0,0,0,0,4576,32,19.096240377598107,0.133540142500686,8.0,440.0,10.49566724436742,30.49197979615425,929.7608318890792,0,0,0,0,0,0,0,0,0.0,10.51388888888889,8.0,368.0,0,0,0,6048,576,201,0,7,0,2,0,0,571,8,0.0,0.0,0.0,0.0,1675638198595119.0,0.0,1675638198595119.0,1675638198595119.0,ddospot
